Brand,Model,Variant,Year,Milage,Manual_Automatic,Price_rating,Price
Porsche,Porsche Cayenne,Diesel Platinum Edition,Pors,158 000,Automatic,Great Price,R 519 900
Porsche,Porsche Cayenne,S,Pors,10 500,Automatic,Great Price,R 2 350 000
Porsche,,,,,,Fair Price,
Porsche,,,,,,Fair Price,
Porsche,,,,,,Fair Price,
Porsche,Porsche Cayenne,Coupe,Pors,43 000,Automatic,Great Price,R 1 169 990
Porsche,Porsche Cayenne,GTS Coupe,Pors,66 000,Automatic,Great Price,R 1 749 000
Porsche,Porsche Cayenne,GTS Coupe,Pors,14 000,Automatic,Great Price,R 2 199 000
Porsche,Porsche 911,Carrera Coupe,Pors,17 000,Automatic,No Rating,R 2 200 000
Porsche,Porsche Panamera,4S,Pors,36 500,Automatic,No Rating,R 1 429 950
Porsche,Porsche Cayenne,Diesel,Pors,87 900,Automatic,Fair Price,R 669 900
Porsche,Porsche Macan,Macan,Pors,25 771,Automatic,Great Price,R 1 049 900
Porsche,Porsche Cayenne,Coupe,Pors,15 000,Automatic,No Rating,R 1 699 900
Porsche,Porsche Panamera,4 Platinum Edition,Pors,15 000,Automatic,No Rating,R 1 899 900
Porsche,Porsche 911,Carrera Cabriolet Auto,Pors,44 000,Automatic,No Rating,R 1 649 900
Porsche,,,,,,No Rating,
Porsche,,,,,,No Rating,
Porsche,,,,,,Fair Price,
Porsche,ined,,ined,,,,
Porsche,Porsche 911,Carrera 4 GTS Coupe,Pors,1 800,Automatic,No Rating,R 3 799 900
Porsche,Porsche Cayenne,S,Pors,102 000,Automatic,Fair Price,R 949 899
Porsche,Porsche Panamera,Turbo,Pors,26 700,Automatic,No Rating,R 1 545 000
Porsche,Porsche Cayenne,Turbo GT,Pors,28 100,Automatic,No Rating,R 4 195 000
Porsche,Porsche Cayenne,S,Pors,400,Automatic,Fair Price,R 2 735 000
Porsche,Porsche Cayenne,GTS,Pors,134 000,Automatic,Great Price,R 599 900
Porsche,Porsche Cayenne,GTS Coupe,Pors,36 000,Automatic,Great Price,R 1 799 000
Porsche,Porsche Cayenne,GTS,Pors,19 600,Automatic,Great Price,R 1 999 900
Porsche,Porsche Cayenne,GTS,Pors,43 700,Automatic,Fair Price,R 1 895 000
Porsche,Porsche Macan,Macan,Pors,61 800,Automatic,,POA
Porsche,Porsche Cayenne,GTS,Pors,166 293,Automatic,Fair Price,R 649 000
Porsche,Porsche Macan,GTS,Pors,74 500,Automatic,Great Price,R 869 900
Porsche,Porsche Cayenne,GTS Coupe,Pors,38 000,Automatic,High Price,R 2 299 900
Porsche,Porsche Cayenne,Diesel Platinum Edition,Pors,158 000,Automatic,Great Price,R 519 900
Porsche,Porsche Cayenne,S,Pors,10 500,Automatic,Great Price,R 2 350 000
Porsche,,,,,,Fair Price,
Porsche,,,,,,High Price,
Porsche,,,,,,Fair Price,
Porsche,Porsche Cayenne,Coupe,Pors,43 000,Automatic,Great Price,R 1 169 990
Porsche,Porsche Cayenne,GTS Coupe,Pors,66 000,Automatic,Great Price,R 1 749 000
Porsche,Porsche Cayenne,GTS Coupe,Pors,14 000,Automatic,Great Price,R 2 199 000
Porsche,Porsche 911,Carrera Coupe,Pors,17 000,Automatic,No Rating,R 2 200 000
Porsche,Porsche Panamera,4S,Pors,36 500,Automatic,No Rating,R 1 429 950
Porsche,Porsche Cayenne,Diesel,Pors,87 900,Automatic,Fair Price,R 669 900
Porsche,Porsche Macan,Macan,Pors,25 771,Automatic,Great Price,R 1 049 900
Porsche,Porsche Cayenne,Coupe,Pors,15 000,Automatic,No Rating,R 1 699 900
Porsche,Porsche Panamera,4 Platinum Edition,Pors,15 000,Automatic,No Rating,R 1 899 900
Porsche,Porsche 911,Carrera Cabriolet Auto,Pors,44 000,Automatic,No Rating,R 1 649 900
Porsche,,,,,,No Rating,
Porsche,,,,,,No Rating,
Porsche,,,,,,Fair Price,
Porsche,Porsche 911,Carrera 4 GTS Coupe,Pors,1 800,Automatic,No Rating,R 3 799 900
Porsche,Porsche Cayenne,S,Pors,102 000,Automatic,Fair Price,R 949 899
Porsche,Porsche Panamera,Turbo,Pors,26 700,Automatic,No Rating,R 1 545 000
Porsche,Porsche Cayenne,Turbo GT,Pors,28 100,Automatic,No Rating,R 4 195 000
Porsche,Porsche Cayenne,S,Pors,400,Automatic,Fair Price,R 2 735 000
Porsche,Porsche Cayenne,GTS,Pors,134 000,Automatic,Great Price,R 599 900
Porsche,Porsche Cayenne,GTS Coupe,Pors,36 000,Automatic,Great Price,R 1 799 000
Porsche,Porsche Cayenne,GTS,Pors,19 600,Automatic,Great Price,R 1 999 900
Porsche,Porsche Cayenne,GTS,Pors,43 700,Automatic,Fair Price,R 1 895 000
Porsche,Porsche Macan,Macan,Pors,61 800,Automatic,,POA
Porsche,ined,,ined,,,,
Porsche,Porsche Cayenne,GTS,Pors,166 293,Automatic,Fair Price,R 649 000
Porsche,Porsche Macan,GTS,Pors,74 500,Automatic,Great Price,R 869 900
Porsche,Porsche Cayenne,GTS Coupe,Pors,38 000,Automatic,High Price,R 2 299 900
Porsche,Porsche Cayenne,Diesel Platinum Edition,Pors,158 000,Automatic,Great Price,R 519 900
Porsche,Porsche Cayenne,S,Pors,10 500,Automatic,Great Price,R 2 350 000
Porsche,,,,,,Fair Price,
Porsche,,,,,,High Price,
Porsche,,,,,,High Price,
Porsche,Porsche Cayenne,Coupe,Pors,43 000,Automatic,Great Price,R 1 169 990
Porsche,Porsche Cayenne,GTS Coupe,Pors,66 000,Automatic,Great Price,R 1 749 000
Porsche,Porsche Cayenne,GTS Coupe,Pors,14 000,Automatic,Great Price,R 2 199 000
Porsche,Porsche 911,Carrera Coupe,Pors,17 000,Automatic,No Rating,R 2 200 000
Porsche,Porsche Panamera,4S,Pors,36 500,Automatic,No Rating,R 1 429 950
Porsche,Porsche Cayenne,Diesel,Pors,87 900,Automatic,Fair Price,R 669 900
Porsche,Porsche Macan,Macan,Pors,25 771,Automatic,Great Price,R 1 049 900
Porsche,Porsche Cayenne,Coupe,Pors,15 000,Automatic,No Rating,R 1 699 900
Porsche,Porsche Panamera,4 Platinum Edition,Pors,15 000,Automatic,No Rating,R 1 899 900
Porsche,Porsche 911,Carrera Cabriolet Auto,Pors,44 000,Automatic,No Rating,R 1 649 900
Porsche,,,,,,No Rating,
Porsche,,,,,,No Rating,
Porsche,,,,,,Fair Price,
Porsche,ined,,ined,,,,
Porsche,Porsche 911,Carrera 4 GTS Coupe,Pors,1 800,Automatic,No Rating,R 3 799 900
Porsche,Porsche Cayenne,S,Pors,102 000,Automatic,Fair Price,R 949 899
Porsche,Porsche Panamera,Turbo,Pors,26 700,Automatic,No Rating,R 1 545 000
Porsche,Porsche Cayenne,Turbo GT,Pors,28 100,Automatic,No Rating,R 4 195 000
Porsche,Porsche Cayenne,S,Pors,400,Automatic,Fair Price,R 2 735 000
Porsche,Porsche Cayenne,GTS,Pors,134 000,Automatic,Great Price,R 599 900
Porsche,Porsche Cayenne,GTS Coupe,Pors,36 000,Automatic,Great Price,R 1 799 000
Porsche,Porsche Cayenne,GTS,Pors,19 600,Automatic,Great Price,R 1 999 900
Porsche,Porsche Cayenne,GTS,Pors,43 700,Automatic,Fair Price,R 1 895 000
Porsche,Porsche Macan,Macan,Pors,61 800,Automatic,,POA
Porsche,Porsche Cayenne,GTS,Pors,166 293,Automatic,Fair Price,R 649 000
Porsche,Porsche Macan,GTS,Pors,74 500,Automatic,Great Price,R 869 900
Porsche,Porsche Cayenne,GTS Coupe,Pors,38 000,Automatic,High Price,R 2 299 900
Porsche,Porsche Cayenne,Diesel Platinum Edition,Pors,158 000,Automatic,Great Price,R 519 900
Porsche,Porsche Cayenne,S,Pors,10 500,Automatic,Great Price,R 2 350 000
Porsche,,,,,,Fair Price,
Porsche,,,,,,Fair Price,
Porsche,,,,,,No Rating,
Porsche,Porsche Cayenne,Coupe,Pors,43 000,Automatic,Great Price,R 1 169 990
Porsche,Porsche Cayenne,GTS Coupe,Pors,66 000,Automatic,Great Price,R 1 749 000
Porsche,Porsche Cayenne,GTS Coupe,Pors,14 000,Automatic,Great Price,R 2 199 000
Porsche,Porsche 911,Carrera Coupe,Pors,17 000,Automatic,No Rating,R 2 200 000
Porsche,Porsche Panamera,4S,Pors,36 500,Automatic,No Rating,R 1 429 950
Porsche,Porsche Cayenne,Diesel,Pors,87 900,Automatic,Fair Price,R 669 900
Porsche,Porsche Macan,Macan,Pors,25 771,Automatic,Great Price,R 1 049 900
Porsche,Porsche Cayenne,Coupe,Pors,15 000,Automatic,No Rating,R 1 699 900
Porsche,Porsche Panamera,4 Platinum Edition,Pors,15 000,Automatic,No Rating,R 1 899 900
Porsche,Porsche 911,Carrera Cabriolet Auto,Pors,44 000,Automatic,No Rating,R 1 649 900
Porsche,,,,,,No Rating,
Porsche,,,,,,No Rating,
Porsche,,,,,,Fair Price,
Porsche,Porsche 911,Carrera 4 GTS Coupe,Pors,1 800,Automatic,No Rating,R 3 799 900
Porsche,Porsche Cayenne,S,Pors,102 000,Automatic,Fair Price,R 949 899
Porsche,Porsche Panamera,Turbo,Pors,26 700,Automatic,No Rating,R 1 545 000
Porsche,Porsche Cayenne,Turbo GT,Pors,28 100,Automatic,No Rating,R 4 195 000
Porsche,Porsche Cayenne,S,Pors,400,Automatic,Fair Price,R 2 735 000
Porsche,ined,,ined,,,,
Porsche,Porsche Cayenne,GTS,Pors,134 000,Automatic,Great Price,R 599 900
Porsche,Porsche Cayenne,GTS Coupe,Pors,36 000,Automatic,Great Price,R 1 799 000
Porsche,Porsche Cayenne,GTS,Pors,19 600,Automatic,Great Price,R 1 999 900
Porsche,Porsche Cayenne,GTS,Pors,43 700,Automatic,Fair Price,R 1 895 000
Porsche,Porsche Macan,Macan,Pors,61 800,Automatic,,POA
Porsche,Porsche Cayenne,GTS,Pors,166 293,Automatic,Fair Price,R 649 000
Porsche,Porsche Macan,GTS,Pors,74 500,Automatic,Great Price,R 869 900
Porsche,Porsche Cayenne,GTS Coupe,Pors,38 000,Automatic,High Price,R 2 299 900
Porsche,Porsche Cayenne,Diesel Platinum Edition,Pors,158 000,Automatic,Great Price,R 519 900
Porsche,Porsche Cayenne,S,Pors,10 500,Automatic,Great Price,R 2 350 000
Porsche,,,,,,High Price,
Porsche,,,,,,No Rating,
Porsche,,,,,,No Rating,
Porsche,Porsche Cayenne,Coupe,Pors,43 000,Automatic,Great Price,R 1 169 990
Porsche,Porsche Cayenne,GTS Coupe,Pors,66 000,Automatic,Great Price,R 1 749 000
Porsche,Porsche Cayenne,GTS Coupe,Pors,14 000,Automatic,Great Price,R 2 199 000
Porsche,Porsche 911,Carrera Coupe,Pors,17 000,Automatic,No Rating,R 2 200 000
Porsche,Porsche Panamera,4S,Pors,36 500,Automatic,No Rating,R 1 429 950
Porsche,Porsche Cayenne,Diesel,Pors,87 900,Automatic,Fair Price,R 669 900
Porsche,Porsche Macan,Macan,Pors,25 771,Automatic,Great Price,R 1 049 900
Porsche,Porsche Cayenne,Coupe,Pors,15 000,Automatic,No Rating,R 1 699 900
Porsche,Porsche Panamera,4 Platinum Edition,Pors,15 000,Automatic,No Rating,R 1 899 900
Porsche,Porsche 911,Carrera Cabriolet Auto,Pors,44 000,Automatic,No Rating,R 1 649 900
Porsche,,,,,,No Rating,
Porsche,,,,,,No Rating,
Porsche,,,,,,Fair Price,
Porsche,Porsche 911,Carrera 4 GTS Coupe,Pors,1 800,Automatic,No Rating,R 3 799 900
Porsche,Porsche Cayenne,S,Pors,102 000,Automatic,Fair Price,R 949 899
Porsche,Porsche Panamera,Turbo,Pors,26 700,Automatic,No Rating,R 1 545 000
Porsche,Porsche Cayenne,Turbo GT,Pors,28 100,Automatic,No Rating,R 4 195 000
Porsche,Porsche Cayenne,S,Pors,400,Automatic,Fair Price,R 2 735 000
Porsche,Porsche Cayenne,GTS,Pors,134 000,Automatic,Great Price,R 599 900
Porsche,Porsche Cayenne,GTS Coupe,Pors,36 000,Automatic,Great Price,R 1 799 000
Porsche,Porsche Cayenne,GTS,Pors,19 600,Automatic,Great Price,R 1 999 900
Porsche,Porsche Cayenne,GTS,Pors,43 700,Automatic,Fair Price,R 1 895 000
Porsche,Porsche Macan,Macan,Pors,61 800,Automatic,,POA
Porsche,ined,,ined,,,,
Porsche,Porsche Cayenne,GTS,Pors,166 293,Automatic,Fair Price,R 649 000
Porsche,Porsche Macan,GTS,Pors,74 500,Automatic,Great Price,R 869 900
Porsche,Porsche Cayenne,GTS Coupe,Pors,38 000,Automatic,High Price,R 2 299 900
Porsche,Porsche Cayenne,Diesel Platinum Edition,Pors,158 000,Automatic,Great Price,R 519 900
Porsche,Porsche Cayenne,S,Pors,10 500,Automatic,Great Price,R 2 350 000
Porsche,,,,,,Fair Price,
Porsche,,,,,,No Rating,
Porsche,,,,,,Fair Price,
Porsche,Porsche Cayenne,Coupe,Pors,43 000,Automatic,Great Price,R 1 169 990
Porsche,Porsche Cayenne,GTS Coupe,Pors,66 000,Automatic,Great Price,R 1 749 000
Porsche,Porsche Cayenne,GTS Coupe,Pors,14 000,Automatic,Great Price,R 2 199 000
Porsche,Porsche 911,Carrera Coupe,Pors,17 000,Automatic,No Rating,R 2 200 000
Porsche,Porsche Panamera,4S,Pors,36 500,Automatic,No Rating,R 1 429 950
Porsche,Porsche Cayenne,Diesel,Pors,87 900,Automatic,Fair Price,R 669 900
Porsche,Porsche Macan,Macan,Pors,25 771,Automatic,Great Price,R 1 049 900
Porsche,Porsche Cayenne,Coupe,Pors,15 000,Automatic,No Rating,R 1 699 900
Porsche,Porsche Panamera,4 Platinum Edition,Pors,15 000,Automatic,No Rating,R 1 899 900
Porsche,Porsche 911,Carrera Cabriolet Auto,Pors,44 000,Automatic,No Rating,R 1 649 900
Porsche,,,,,,No Rating,
Porsche,,,,,,No Rating,
Porsche,,,,,,Fair Price,
Porsche,Porsche 911,Carrera 4 GTS Coupe,Pors,1 800,Automatic,No Rating,R 3 799 900
Porsche,Porsche Cayenne,S,Pors,102 000,Automatic,Fair Price,R 949 899
Porsche,Porsche Panamera,Turbo,Pors,26 700,Automatic,No Rating,R 1 545 000
Porsche,Porsche Cayenne,Turbo GT,Pors,28 100,Automatic,No Rating,R 4 195 000
Porsche,Porsche Cayenne,S,Pors,400,Automatic,Fair Price,R 2 735 000
Porsche,Porsche Cayenne,GTS,Pors,134 000,Automatic,Great Price,R 599 900
Porsche,Porsche Cayenne,GTS Coupe,Pors,36 000,Automatic,Great Price,R 1 799 000
Porsche,Porsche Cayenne,GTS,Pors,19 600,Automatic,Great Price,R 1 999 900
Porsche,ined,,ined,,,,
Porsche,Porsche Cayenne,GTS,Pors,43 700,Automatic,Fair Price,R 1 895 000
Porsche,Porsche Macan,Macan,Pors,61 800,Automatic,,POA
Porsche,Porsche Cayenne,GTS,Pors,166 293,Automatic,Fair Price,R 649 000
Porsche,Porsche Macan,GTS,Pors,74 500,Automatic,Great Price,R 869 900
Porsche,Porsche Cayenne,GTS Coupe,Pors,38 000,Automatic,High Price,R 2 299 900
Porsche,Porsche Cayenne,Diesel Platinum Edition,Pors,158 000,Automatic,Great Price,R 519 900
Porsche,Porsche Cayenne,S,Pors,10 500,Automatic,Great Price,R 2 350 000
Porsche,,,,,,High Price,
Porsche,,,,,,No Rating,
Porsche,,,,,,Fair Price,
Porsche,Porsche Cayenne,Coupe,Pors,43 000,Automatic,Great Price,R 1 169 990
Porsche,Porsche Cayenne,GTS Coupe,Pors,66 000,Automatic,Great Price,R 1 749 000
Porsche,ined,,ined,,,,
Porsche,Porsche Cayenne,GTS Coupe,Pors,14 000,Automatic,Great Price,R 2 199 000
Porsche,Porsche 911,Carrera Coupe,Pors,17 000,Automatic,No Rating,R 2 200 000
Porsche,Porsche Panamera,4S,Pors,36 500,Automatic,No Rating,R 1 429 950
Porsche,Porsche Cayenne,Diesel,Pors,87 900,Automatic,Fair Price,R 669 900
Porsche,Porsche Macan,Macan,Pors,25 771,Automatic,Great Price,R 1 049 900
Porsche,Porsche Cayenne,Coupe,Pors,15 000,Automatic,No Rating,R 1 699 900
Porsche,Porsche Panamera,4 Platinum Edition,Pors,15 000,Automatic,No Rating,R 1 899 900
Porsche,Porsche 911,Carrera Cabriolet Auto,Pors,44 000,Automatic,No Rating,R 1 649 900
Porsche,,,,,,No Rating,
Porsche,,,,,,No Rating,
Porsche,,,,,,Fair Price,
Porsche,Porsche 911,Carrera 4 GTS Coupe,Pors,1 800,Automatic,No Rating,R 3 799 900
Porsche,Porsche Cayenne,S,Pors,102 000,Automatic,Fair Price,R 949 899
Porsche,Porsche Panamera,Turbo,Pors,26 700,Automatic,No Rating,R 1 545 000
Porsche,Porsche Cayenne,Turbo GT,Pors,28 100,Automatic,No Rating,R 4 195 000
Porsche,Porsche Cayenne,S,Pors,400,Automatic,Fair Price,R 2 735 000
Porsche,Porsche Cayenne,GTS,Pors,134 000,Automatic,Great Price,R 599 900
Porsche,Porsche Cayenne,GTS Coupe,Pors,36 000,Automatic,Great Price,R 1 799 000
Porsche,Porsche Cayenne,GTS,Pors,19 600,Automatic,Great Price,R 1 999 900
Porsche,Porsche Cayenne,GTS,Pors,43 700,Automatic,Fair Price,R 1 895 000
Porsche,Porsche Macan,Macan,Pors,61 800,Automatic,,POA
Porsche,Porsche Cayenne,GTS,Pors,166 293,Automatic,Fair Price,R 649 000
Porsche,Porsche Macan,GTS,Pors,74 500,Automatic,Great Price,R 869 900
Porsche,Porsche Cayenne,GTS Coupe,Pors,38 000,Automatic,High Price,R 2 299 900
Porsche,Porsche Cayenne,Diesel Platinum Edition,Pors,158 000,Automatic,Great Price,R 519 900
Porsche,Porsche Cayenne,S,Pors,10 500,Automatic,Great Price,R 2 350 000
Porsche,,,,,,No Rating,
Porsche,,,,,,Fair Price,
Porsche,,,,,,Great Price,
Porsche,Porsche Cayenne,Coupe,Pors,43 000,Automatic,Great Price,R 1 169 990
Porsche,Porsche Cayenne,GTS Coupe,Pors,66 000,Automatic,Great Price,R 1 749 000
Porsche,Porsche Cayenne,GTS Coupe,Pors,14 000,Automatic,Great Price,R 2 199 000
Porsche,Porsche 911,Carrera Coupe,Pors,17 000,Automatic,No Rating,R 2 200 000
Porsche,Porsche Panamera,4S,Pors,36 500,Automatic,No Rating,R 1 429 950
Porsche,Porsche Cayenne,Diesel,Pors,87 900,Automatic,Fair Price,R 669 900
Porsche,Porsche Macan,Macan,Pors,25 771,Automatic,Great Price,R 1 049 900
Porsche,Porsche Cayenne,Coupe,Pors,15 000,Automatic,No Rating,R 1 699 900
Porsche,Porsche Panamera,4 Platinum Edition,Pors,15 000,Automatic,No Rating,R 1 899 900
Porsche,Porsche 911,Carrera Cabriolet Auto,Pors,44 000,Automatic,No Rating,R 1 649 900
Porsche,,,,,,No Rating,
Porsche,,,,,,No Rating,
Porsche,,,,,,Fair Price,
Porsche,Porsche 911,Carrera 4 GTS Coupe,Pors,1 800,Automatic,No Rating,R 3 799 900
Porsche,Porsche Cayenne,S,Pors,102 000,Automatic,Fair Price,R 949 899
Porsche,Porsche Panamera,Turbo,Pors,26 700,Automatic,No Rating,R 1 545 000
Porsche,Porsche Cayenne,Turbo GT,Pors,28 100,Automatic,No Rating,R 4 195 000
Porsche,Porsche Cayenne,S,Pors,400,Automatic,Fair Price,R 2 735 000
Porsche,Porsche Cayenne,GTS,Pors,134 000,Automatic,Great Price,R 599 900
Porsche,Porsche Cayenne,GTS Coupe,Pors,36 000,Automatic,Great Price,R 1 799 000
Porsche,Porsche Cayenne,GTS,Pors,19 600,Automatic,Great Price,R 1 999 900
Porsche,ined,,ined,,,,
Porsche,Porsche Cayenne,GTS,Pors,43 700,Automatic,Fair Price,R 1 895 000
Porsche,Porsche Macan,Macan,Pors,61 800,Automatic,,POA
Porsche,Porsche Cayenne,GTS,Pors,166 293,Automatic,Fair Price,R 649 000
Porsche,Porsche Macan,GTS,Pors,74 500,Automatic,Great Price,R 869 900
Porsche,Porsche Cayenne,GTS Coupe,Pors,38 000,Automatic,High Price,R 2 299 900
Porsche,Porsche Cayenne,Diesel Platinum Edition,Pors,158 000,Automatic,Great Price,R 519 900
Porsche,Porsche Cayenne,S,Pors,10 500,Automatic,Great Price,R 2 350 000
